±¤Áø±¸,Date
360.0276611162455,2023-01-01
258.6212603185673,2023-02-01
205.5029122861941,2023-03-01
332.33034730925584,2023-04-01
343.30751228844883,2023-05-01
379.6308154801253,2023-06-01
305.8815310216555,2023-07-01
252.89806066868442,2023-08-01
370.25067145524423,2023-09-01
204.3743046555174,2023-10-01
411.37906953967826,2023-11-01
291.82312347201065,2023-12-01
410.17667832482954,2024-01-01
288.36559969437207,2024-02-01
369.1743594641547,2024-03-01
318.63869842427766,2024-04-01
322.6330035091868,2024-05-01
321.2493058598103,2024-06-01
366.417078870728,2024-07-01
398.99340856422333,2024-08-01
184.07585560106105,2024-09-01
391.13089246180647,2024-10-01
349.4044887071922,2024-11-01
373.98017595750605,2024-12-01
327.53383933918514,2025-01-01
263.46403012052417,2025-02-01
336.94253038310256,2025-03-01
344.6980171615681,2025-04-01
351.6253313094403,2025-05-01
363.57521233494725,2025-06-01
369.42624099019685,2025-07-01
371.92217130086766,2025-08-01
268.53101935773054,2025-09-01
351.6504884525911,2025-10-01
392.0627476609385,2025-11-01
368.72035201147054,2025-12-01
377.2843206207772,2026-01-01
295.1323742119478,2026-02-01
304.77565545609184,2026-03-01
371.6705513524678,2026-04-01
380.933422422252,2026-05-01
405.4539938653289,2026-06-01
371.64877486019196,2026-07-01
345.6196997461971,2026-08-01
353.0147277508121,2026-09-01
311.7924910537375,2026-10-01
435.1328554995994,2026-11-01
363.7399531348142,2026-12-01
