Áß¶û±¸,Date
0.2948230417974792,2023-01-01
-0.21342760865783905,2023-02-01
-0.2595808082782323,2023-03-01
-1.1174007484638295,2023-04-01
0.5203096003449561,2023-05-01
1.387179881013127,2023-06-01
-0.29719346622480053,2023-07-01
0.15168329987870402,2023-08-01
0.40160262203435204,2023-09-01
-0.7641889644403145,2023-10-01
-0.12922271325105894,2023-11-01
0.245372258243054,2023-12-01
0.5504952574695092,2024-01-01
-0.23921131362762252,2024-02-01
0.4768712693912943,2024-03-01
1.4296546674617876,2024-04-01
-0.8756415297103912,2024-05-01
-0.8344436950681114,2024-06-01
-0.5056967689608178,2024-07-01
0.273370527970953,2024-08-01
0.6492285814032931,2024-09-01
0.7457496422654041,2024-10-01
-0.5627677689208341,2024-11-01
-0.7585931943892137,2024-12-01
-0.8714326921083675,2025-01-01
-0.8458648986202476,2025-02-01
0.03005304848352297,2025-03-01
0.35486668881049643,2025-04-01
-0.6488617806680343,2025-05-01
-0.3073242804195956,2025-06-01
-0.6363788711668279,2025-07-01
0.02863914917839136,2025-08-01
0.3609546508292587,2025-09-01
0.02201708347920206,2025-10-01
-0.6481378544103791,2025-11-01
-0.6454431705031685,2025-12-01
-0.6072263159423427,2026-01-01
-0.8435904228775777,2026-02-01
-0.4295733444027606,2026-03-01
-0.7084402969400452,2026-04-01
-0.39731858522321406,2026-05-01
0.2196094534990422,2026-06-01
-0.7807350445722366,2026-07-01
-0.2258978750742029,2026-08-01
0.0643600259339383,2026-09-01
-0.6954587207216301,2026-10-01
-0.717546140030023,2026-11-01
-0.5245418018456153,2026-12-01
