Date,강남구,강동구,강북구,강서구,관악구,광진구,구로구,금천구,노원구,도봉구,동대문구,동작구,마포구,서대문구,서초구,성동구,성북구,송파구,양천구,영등포구,용산구,은평구,종로구,중구,중랑구
20년1월_강간/강제추행,65,12,13,33,37,20,18,8,7,8,11,21,32,20,6,11,7,23,11,33,23,15,8,22,14
20년2월_강간/강제추행,46,9,16,17,26,21,5,10,11,8,8,10,24,8,5,11,10,16,8,23,23,8,12,16,15
20년3월_강간/강제추행,64,7,9,23,27,19,12,10,6,9,8,8,49,16,2,7,11,18,9,22,32,10,18,11,14
20년4월_강간/강제추행,53,13,10,17,22,23,11,10,16,6,12,18,20,9,5,9,15,27,16,20,28,13,9,16,8
20년5월_강간/강제추행,48,12,16,16,20,17,11,11,13,4,14,26,28,15,4,4,7,24,6,32,14,15,19,14,12
20년6월_강간/강제추행,58,20,18,21,34,20,17,13,10,12,20,28,24,15,5,15,17,26,13,22,16,16,21,19,22
20년7월_강간/강제추행,57,26,14,22,38,23,28,14,17,10,14,15,30,6,5,7,14,31,7,32,14,20,26,20,21
20년8월_강간/강제추행,60,21,20,35,33,32,18,8,20,5,16,16,25,15,12,15,15,24,7,27,13,15,16,16,14
20년9월_강간/강제추행,19,10,16,11,18,7,18,38,21,6,29,21,6,12,17,56,63,18,1,25,27,35,31,13,15
20년10월_강간/강제추행,45,23,9,21,43,19,19,5,19,4,11,19,23,14,4,14,9,14,8,25,8,13,17,8,16
20년11월_강간/강제추행,63,13,13,21,40,19,18,6,11,3,14,16,27,8,5,3,19,25,9,28,25,13,9,9,14
20년12월_강간/강제추행,78,13,9,17,44,21,15,7,16,7,15,20,28,17,35,13,8,30,9,30,15,20,63,15,16
21년1월_강간/강제추행,33,10,6,14,20,17,6,7,9,4,7,12,16,10,14,5,7,10,6,12,7,3,10,8,7
21년2월_강간/강제추행,39,5,1,10,14,10,3,11,8,4,6,4,16,9,13,3,6,6,7,15,5,5,9,3,6
21년3월_강간/강제추행,49,7,7,16,29,10,14,9,5,6,10,8,23,11,22,7,9,25,6,28,11,8,14,14,8
21년4월_강간/강제추행,45,10,11,16,17,12,13,14,13,10,14,12,31,4,24,9,7,27,7,28,5,17,4,9,11
21년5월_강간/강제추행,70,9,15,27,25,25,10,6,16,8,14,26,25,12,25,9,7,20,8,19,9,9,12,14,12
21년6월_강간/강제추행,46,11,20,16,28,24,15,8,17,7,13,18,34,5,27,11,12,21,9,25,10,18,10,16,14
21년7월_강간/강제추행,54,15,15,25,33,18,18,13,15,4,21,16,27,17,31,10,13,34,15,27,19,12,22,21,22
21년8월_강간/강제추행,53,10,13,21,31,25,21,13,10,5,15,18,32,18,30,15,15,25,11,39,17,14,16,19,17
21년9월_강간/강제추행,51,13,10,16,34,11,19,8,18,4,17,23,23,12,28,13,11,24,11,25,8,18,12,16,12
21년10월_강간/강제추행,45,11,12,19,12,13,21,19,19,5,18,8,28,7,36,2,6,11,14,21,14,22,16,11,9
21년11월_강간/강제추행,47,15,17,40,49,24,22,15,17,8,21,18,39,11,38,21,14,23,9,18,21,25,14,17,13
21년12월_강간/강제추행,46,8,9,26,29,19,20,11,9,7,13,17,27,21,24,5,11,21,13,22,15,15,17,13,10
22년1월_강간/강제추행,56,12,11,19,22,20,18,20,13,10,7,14,15,42,18,30,10,18,8,20,20,17,22,8,14
22년2월_강간/강제추행,33,13,5,12,21,8,9,10,9,7,4,8,19,26,15,21,5,15,6,16,9,13,8,5,10
22년3월_강간/강제추행,38,12,9,20,23,6,16,10,11,8,6,1,7,17,9,44,9,23,9,23,19,12,9,6,3
22년4월_강간/강제추행,47,9,22,21,27,17,16,5,11,16,1,5,17,31,10,31,12,28,18,28,8,15,17,13,15
22년5월_강간/강제추행,61,12,15,22,17,22,17,5,17,12,7,13,14,34,12,41,10,37,9,23,22,12,10,13,24
22년6월_강간/강제추행,49,16,17,18,25,31,25,10,20,14,7,14,18,19,8,43,9,22,10,36,28,15,15,20,19
22년7월_강간/강제추행,65,16,17,24,33,20,27,11,27,17,6,8,23,57,15,38,14,32,11,31,36,7,12,17,29
22년8월_강간/강제추행,72,16,20,29,42,22,22,16,20,28,10,15,24,46,13,40,14,26,12,35,26,17,14,15,27
22년9월_강간/강제추행,65,9,17,17,26,17,16,13,18,9,4,7,16,32,9,43,7,21,7,25,27,9,4,13,23
22년10월_강간/강제추행,61,12,10,30,40,33,16,10,17,17,6,16,29,47,16,42,13,23,8,39,25,25,16,15,24
22년11월_강간/강제추행,64,15,16,24,27,23,27,11,18,23,7,12,16,47,20,29,13,22,7,27,32,19,18,11,15
22년12월_강간/강제추행,56,15,18,25,24,11,8,6,13,19,5,12,14,38,12,29,9,23,9,24,28,15,13,14,25
