동대문구,Date
113.72158996016452,2023-01-01
61.87376827292249,2023-02-01
14.956284988586617,2023-03-01
51.83660985767522,2023-04-01
94.88114604286072,2023-05-01
103.61123478952754,2023-06-01
90.4065809452686,2023-07-01
57.112825897357624,2023-08-01
88.38464757178843,2023-09-01
37.69212558949803,2023-10-01
107.863520457835,2023-11-01
49.111338472384325,2023-12-01
126.38299510309555,2024-01-01
64.80993335435805,2024-02-01
75.47410598916221,2024-03-01
78.32484654557555,2024-04-01
44.276072759335506,2024-05-01
54.83712648688801,2024-06-01
83.73248403849058,2024-07-01
70.22743039786566,2024-08-01
51.01812547671066,2024-09-01
74.53010319600625,2024-10-01
52.370575439397925,2024-11-01
104.4179229307542,2024-12-01
41.69437602853453,2025-01-01
6.4902602644176,2025-02-01
39.680329587360575,2025-03-01
53.07115709360295,2025-04-01
44.77528121257567,2025-05-01
55.284096732069685,2025-06-01
70.34965935637565,2025-07-01
49.933222739089054,2025-08-01
47.638475142819686,2025-09-01
46.23547608690059,2025-10-01
54.9026477596434,2025-11-01
69.78847088599429,2025-12-01
53.61921811213857,2026-01-01
10.563298441700397,2026-02-01
3.565678954163303,2026-03-01
28.3034027600823,2026-04-01
45.71685850167982,2026-05-01
55.616323378875954,2026-06-01
56.64228679143188,2026-07-01
29.627042132610185,2026-08-01
44.16298756471082,2026-09-01
18.01954879101747,2026-10-01
57.47060893304918,2026-11-01
35.41608064909943,2026-12-01
