³ë¿ø±¸,Date
100.45649675677018,2023-01-01
79.08774823075836,2023-02-01
69.78631128912292,2023-03-01
93.89726507928589,2023-04-01
97.98212701235987,2023-05-01
157.15652366581824,2023-06-01
126.71122245218697,2023-07-01
119.34964351714862,2023-08-01
124.19489832883228,2023-09-01
43.077078020772205,2023-10-01
169.46143051733173,2023-11-01
161.22671763631624,2023-12-01
101.16698398974725,2024-01-01
73.92842186669243,2024-02-01
81.47481253863205,2024-03-01
96.94161896327073,2024-04-01
129.25326381563352,2024-05-01
92.99034588006927,2024-06-01
128.2557833148704,2024-07-01
120.59724943407289,2024-08-01
110.47693699411435,2024-09-01
128.15174275017722,2024-10-01
125.77211218770528,2024-11-01
126.2013739515596,2024-12-01
92.10057073183312,2025-01-01
82.71275059003507,2025-02-01
75.53516906876268,2025-03-01
93.86259976269537,2025-04-01
116.42728463071641,2025-05-01
112.16565765539806,2025-06-01
126.00527648159641,2025-07-01
118.29827131070267,2025-08-01
113.37060589765292,2025-09-01
97.50300838730548,2025-10-01
137.71896537478187,2025-11-01
135.9236804209191,2025-12-01
93.35942075955181,2026-01-01
77.94417887815881,2026-02-01
69.59988118395201,2026-03-01
90.80920201318486,2026-04-01
103.9647918765229,2026-05-01
131.5252462185185,2026-06-01
123.45545357064296,2026-07-01
115.84568175354694,2026-08-01
115.90537637487499,2026-09-01
67.09851333640208,2026-10-01
150.24945029975595,2026-11-01
145.56823189744452,2026-12-01
