¾çÃµ±¸,Date
144.36102792700098,2023-01-01
138.30682454504498,2023-02-01
86.7939867103281,2023-03-01
138.12570578159716,2023-04-01
123.99110516055775,2023-05-01
161.49694688471155,2023-06-01
105.95879449504861,2023-07-01
189.56451933621156,2023-08-01
145.11002674206665,2023-09-01
93.70571942674874,2023-10-01
177.30100903485996,2023-11-01
72.64228753458812,2023-12-01
163.67678960613867,2024-01-01
176.65139370206992,2024-02-01
163.22182232821714,2024-03-01
133.99114783653124,2024-04-01
152.06114450495247,2024-05-01
141.63353530239164,2024-06-01
181.74502896494087,2024-07-01
151.18546011255984,2024-08-01
95.5909246366044,2024-09-01
152.2664769684945,2024-10-01
169.60665470743487,2024-11-01
161.3681559198913,2024-12-01
144.41533182238797,2025-01-01
97.45850717490121,2025-02-01
150.24523936864412,2025-03-01
147.43281349316388,2025-04-01
154.79879803546316,2025-05-01
160.52656610949828,2025-06-01
168.4213071254217,2025-07-01
175.65680928085504,2025-08-01
124.60392610370975,2025-09-01
145.24716515692808,2025-10-01
184.53115387273655,2025-11-01
143.68570479277633,2025-12-01
162.25847333173078,2026-01-01
136.21998447607712,2026-02-01
136.92394011647158,2026-03-01
160.97111393820768,2026-04-01
157.60142320843505,2026-05-01
179.30982275931385,2026-06-01
155.31410606542875,2026-07-01
200.616869145227,2026-08-01
153.27908646211807,2026-09-01
137.88352325545003,2026-10-01
199.25499479730507,2026-11-01
126.26225975125713,2026-12-01
