±ÝÃµ±¸,Date
109.12031339199221,2023-01-01
105.09098488591704,2023-02-01
70.89533937723465,2023-03-01
87.18188851357363,2023-04-01
100.41006575101147,2023-05-01
145.08896095466613,2023-06-01
162.30294185094394,2023-07-01
144.1453760175958,2023-08-01
48.75247738744875,2023-09-01
141.51929177049257,2023-10-01
137.2603590498607,2023-11-01
80.15194364338564,2023-12-01
117.63352936540025,2024-01-01
122.36406148600899,2024-02-01
121.41846752112181,2024-03-01
103.84898382616709,2024-04-01
130.66181669226637,2024-05-01
107.97697537519392,2024-06-01
121.4140054865613,2024-07-01
112.47508996347686,2024-08-01
166.91019670866174,2024-09-01
124.3834622835174,2024-10-01
95.95755111468401,2024-11-01
113.5428277832737,2024-12-01
99.41731899099632,2025-01-01
76.30575953514317,2025-02-01
107.0740806622128,2025-03-01
100.38670320720269,2025-04-01
122.37441449367138,2025-05-01
122.14963192779923,2025-06-01
137.44143392382824,2025-07-01
126.04469650439253,2025-08-01
129.89407040501757,2025-09-01
131.6583289294582,2025-10-01
111.92326543650577,2025-11-01
104.62849686392127,2025-12-01
107.4643163367029,2026-01-01
94.1517585958448,2026-02-01
92.43646832015085,2026-03-01
97.03614023511048,2026-04-01
114.49743325919403,2026-05-01
136.73590137279697,2026-06-01
153.2886145820763,2026-07-01
138.8132311453028,2026-08-01
92.7040989845433,2026-09-01
139.5801027818226,2026-10-01
127.90551564921621,2026-11-01
95.70614842920759,2026-12-01
