±¸·Î±¸,Date
180.33891802591535,2023-01-01
141.01587487052302,2023-02-01
137.84393775589388,2023-03-01
168.0748715007827,2023-04-01
167.29938773563438,2023-05-01
226.71851852233686,2023-06-01
144.65026705429977,2023-07-01
209.2094611321882,2023-08-01
170.92536026675913,2023-09-01
184.76718405222948,2023-10-01
183.86355736028048,2023-11-01
106.41598933287662,2023-12-01
203.9851427100954,2024-01-01
153.4870111489914,2024-02-01
183.53179197660742,2024-03-01
151.12451623514067,2024-04-01
205.65272981374312,2024-05-01
185.38843291170775,2024-06-01
183.9591137176451,2024-07-01
177.30480567689614,2024-08-01
167.70200485124624,2024-09-01
187.82068680009408,2024-10-01
172.09363205765368,2024-11-01
192.96401329608977,2024-12-01
138.00680818008556,2025-01-01
118.53170100172152,2025-02-01
169.59348321417886,2025-03-01
157.89678755273337,2025-04-01
193.8764589310957,2025-05-01
200.25456495264268,2025-06-01
171.95227220804156,2025-07-01
188.93681738489016,2025-08-01
170.04867233461405,2025-09-01
188.0507541684339,2025-10-01
177.4618635471409,2025-11-01
164.915036106725,2025-12-01
160.6149893348246,2026-01-01
131.63418754324272,2026-02-01
155.4975721275979,2026-03-01
164.68470539161228,2026-04-01
182.22672688999629,2026-05-01
215.17242239614458,2026-06-01
159.9845845832736,2026-07-01
200.71309618952603,2026-08-01
172.26267317217278,2026-09-01
188.1708630349109,2026-10-01
182.5219994138824,2026-11-01
137.19491755424212,2026-12-01
