자치구,2020_세대수,2020_한국인,2020_등록외국인,2020_고령자,2021_세대수,2021_한국인,2021_등록외국인,2021_고령자,2022_세대수,2022_한국인,2022_등록외국인,2022_고령자
강남구,234872,539231,4824,75096,234233,533042,4758,78226,232777,529102,5001,81715
강동구,196499,459970,4028,70019,201613,462664,3808,74070,202169,460067,3970,78340
강북구,145896,308055,3514,63422,144536,299182,3381,64333,144313,293660,4042,66307
강서구,266982,580185,5716,88984,271175,574315,5453,92558,273697,569166,5472,97128
관악구,274811,495060,14743,78875,276597,485699,13750,79871,283623,486752,14474,82447
광진구,167427,346682,13427,50560,167949,339996,12631,51723,169291,337416,13836,54071
구로구,180531,404408,28080,70198,180929,396754,24409,72611,183655,395315,23103,75890
금천구,114715,231733,16102,39842,117595,230811,14080,41041,119583,229642,13176,42928
노원구,218270,523037,3995,85489,217378,510956,3990,88345,217540,503734,4280,92040
도봉구,139114,325257,2104,62059,138656,317366,2007,64160,138356,311694,2295,66998
동대문구,167598,342837,14177,61796,168219,337400,14606,62211,169873,336644,16957,64468
동작구,184229,391220,10352,65190,184812,385483,8881,66613,185773,380596,9836,68231
마포구,178482,371890,9968,54331,179861,368905,9781,54582,180084,364638,10947,55914
서대문구,144838,312173,10779,54204,143647,304819,10840,54268,145797,306337,13217,55996
서초구,173502,425126,3899,60169,170244,412279,3888,60678,167749,404325,4126,62347
성동구,135870,293556,6949,45603,134233,285990,6682,46380,133305,281000,7234,47720
성북구,195396,437153,9903,73770,195017,430528,9614,74709,197082,430397,11587,77475
송파구,281959,667960,5966,93483,282417,658338,5627,97691,284853,658801,5713,103573
양천구,180633,454251,3530,65670,181404,447302,3185,68627,181187,440881,3129,72393
영등포구,184714,379480,27887,61688,187020,376837,24071,62516,188832,375675,22410,64810
용산구,113093,230040,14605,40247,111036,222953,14332,39070,109805,218650,14634,39037
은평구,213914,479835,4208,85187,214711,473307,3866,87241,213876,466746,3856,89650
종로구,75003,149384,9612,28507,73494,144683,9106,27818,72524,141379,10832,27958
중구,63686,125240,9395,24495,63519,122499,9288,24392,63139,120437,10348,25055
중랑구,185920,394702,4860,69447,185712,387350,4535,71682,187413,385318,4822,74920
