"		지점번호",지점명,일시,평균습도(%rh),최저습도(%rh)
"		108",서울,Jan-20,56,17
"		108",서울,Feb-20,58,14
"		108",서울,Mar-20,46,11
"		108",서울,Apr-20,50,10
"		108",서울,May-20,67,11
"		108",서울,Jun-20,68,26
"		108",서울,Jul-20,77,34
"		108",서울,Aug-20,85,49
"		108",서울,Sep-20,71,27
"		108",서울,Oct-20,61,20
"		108",서울,Nov-20,64,18
"		108",서울,Dec-20,58,24
"		108",서울,Jan-21,58,19
"		108",서울,Feb-21,56,18
"		108",서울,Mar-21,63,19
"		108",서울,Apr-21,54,18
"		108",서울,May-21,68,25
"		108",서울,Jun-21,73,36
"		108",서울,Jul-21,71,37
"		108",서울,Aug-21,74,39
"		108",서울,Sep-21,71,38
"		108",서울,Oct-21,70,25
"		108",서울,Nov-21,68,27
"		108",서울,Dec-21,62,26
"		108",서울,Jan-22,55,21
"		108",서울,Feb-22,55,21
"		108",서울,Mar-22,62,15
"		108",서울,Apr-22,55,17
"		108",서울,May-22,55,16
"		108",서울,Jun-22,73,18
"		108",서울,Jul-22,77,46
"		108",서울,Aug-22,80,39
"		108",서울,Sep-22,68,29
"		108",서울,Oct-22,69,25
"		108",서울,Nov-22,65,23
"		108",서울,Dec-22,59,21
"		",,,,
"	",,,,
"	",,,,
